numParks,code,meanHouseholdIncome,totalPopulation,populationDensity,race.white,race.black,race.americanIndianOrAlaskanNative,race.asian,race.nativeHawaiianOrPacificIslander,race.otherRace,race.twoOrMore
0,36028,49894,1438,13.54748603,1278,154,6,0,0,0,0
0,36029,65848,1164,7.06710327,499,587,0,0,0,0,78
0,36030,57769,605,7.197830389,288,317,0,0,0,0,0
0,36031,50140,185,15.05646173,0,185,0,0,0,0,0
0,36032,47509,2464,21.05272632,468,1996,0,0,0,0,0
0,36033,53645,4262,18.32660491,2422,1685,0,26,0,35,94
0,36034,57080,1132,13.86383549,850,166,22,29,0,0,65
0,36035,62753,1606,17.5464343,1048,429,59,0,3,0,67
0,36036,75462,1688,19.17535445,893,781,0,0,8,0,6
5,36037,56934,12944,39.0345914,6287,6220,8,50,0,7,372
0,36038,NA,44,24.10147992,15,29,0,0,0,0,0
0,36039,55746,232,6.651942998,28,204,0,0,0,0,0
0,36040,39237,3452,25.66883586,452,2983,0,0,0,0,17
0,36041,88509,1344,24.81548426,1067,196,0,0,9,0,72
0,36042,63410,1947,18.42910324,1716,177,0,0,0,0,54
0,36043,73916,3626,35.64102315,2217,1305,60,0,0,44,0
0,36046,54329,1406,21.69702794,875,483,0,0,0,0,48
0,36047,43082,1084,12.62754179,279,711,0,0,28,0,66
0,36048,39634,1513,13.82034499,588,884,0,0,1,18,22
0,36049,58254,5883,35.69998498,4144,1369,35,146,0,22,167
0,36051,91408,2057,45.37398086,1697,360,0,0,0,0,0
0,36052,109780,393,11.822865,325,62,0,0,0,0,6
0,36053,44743,1732,6.768707717,187,1545,0,0,0,0,0
3,36054,71360,15899,618.777723,11069,4171,0,63,0,197,399
0,36064,129367,10149,83.54364608,7075,2440,47,515,0,0,72
7,36066,81361,19732,960.8879493,15313,3269,84,582,0,49,435
12,36067,68484,27601,112.6669899,20489,5944,83,91,26,329,639
0,36069,64717,2028,12.98927965,1302,698,0,0,0,0,28
0,36071,43321,456,16.31106001,331,110,9,0,0,0,6
0,36075,53382,2240,24.32813473,569,1653,0,9,0,0,9
2,36078,65307,12540,76.47802976,9709,2661,18,0,0,50,102
2,36079,71760,9932,46.89312345,6515,2837,52,104,0,18,406
0,36080,94545,2412,41.96153064,2283,129,0,0,0,0,0
4,36081,48343,15754,70.24833317,8656,6348,15,501,0,0,234
0,36082,NA,1141,4375.328084,662,370,13,92,0,0,4
1,36083,52130,7316,37.53581662,805,6475,8,0,0,0,28
2,36088,52212,4646,1424.260532,71,4521,8,23,0,0,23
1,36089,44892,7698,26.63472122,1430,6008,0,50,0,210,0
0,36091,66658,3590,44.59766742,3140,438,0,0,0,0,12
8,36092,69482,20170,154.998815,14449,5067,7,123,0,138,386
0,36093,109317,11084,116.0017665,9376,1416,27,96,0,27,142
9,36104,47390,8465,755.0239234,1741,6552,23,9,0,64,76
2,36105,45385,9391,164.1182884,1021,8298,0,34,0,19,19
9,36106,81651,14951,2499.753492,7316,7106,13,371,0,74,71
6,36107,45607,7669,2964.142195,3252,3912,32,8,0,276,189
11,36108,40823,17680,306.1866782,2034,14951,56,32,0,338,269
5,36109,69919,25377,2137.606764,16923,7087,61,436,0,326,544
2,36110,47194,11693,438.6284634,1969,9025,73,115,0,408,103
0,36111,82099,12610,2832.286578,4282,7542,0,149,0,199,438
0,36112,NA,309,1584.527221,261,48,0,0,0,0,0
0,36113,91040,1764,674.2289968,1040,485,15,23,13,37,151
0,36115,100559,1058,1052.364865,560,324,0,28,4,23,119
4,36116,65969,43882,780.6956553,7181,33794,46,1208,0,934,719
8,36117,84621,54640,926.2746688,21726,27677,42,3449,0,362,1384
4,36201,41236,17482,540.2160221,8824,8021,20,26,0,132,459
2,36203,76097,18453,491.4514274,13265,3014,0,412,0,1368,394
0,36205,93909,1027,147.1951785,490,489,0,0,0,0,48
2,36206,57774,11648,715.3499437,7364,3051,152,259,0,369,453
3,36207,79579,19614,268.0955347,14394,4424,50,232,0,176,338
1,36250,74996,4768,260.8966729,4127,593,39,0,0,3,6
0,36251,55420,4400,35.32636913,3871,473,6,7,0,0,43
0,36255,74222,944,14.1140485,689,242,0,0,0,0,13
0,36256,52883,1621,16.55314932,1364,222,0,0,0,0,35
0,36258,65810,1385,14.19919724,1368,0,0,17,0,0,0
0,36260,54523,4259,156.4330178,3423,774,0,0,0,13,49
0,36262,72410,1326,16.17931327,1304,8,0,3,0,9,2
0,36263,38067,420,26.7099655,403,17,0,0,0,0,0
0,36264,54241,8305,36.72148667,7706,327,4,0,0,177,91
3,36265,62986,20238,211.7072288,16204,3297,18,153,14,23,529
0,36266,57678,6106,31.25122469,4987,1091,0,0,0,18,10
0,36267,NA,7,25.67865004,7,0,0,0,0,0,0
0,36268,60071,5514,57.87034571,4040,1376,3,20,5,7,63
0,36269,67104,1685,31.22761461,1512,25,10,0,0,8,130
0,36271,72841,5771,73.40914354,5463,69,18,0,0,22,199
3,36272,54138,13097,39.71912712,11807,728,225,59,0,51,227
0,36273,60043,3125,55.87620563,3003,50,0,0,0,4,68
2,36274,55999,11067,61.30727541,7598,3201,38,0,0,11,219
0,36276,65581,2573,19.31531961,1934,515,0,30,0,11,83
1,36277,63104,5771,644.7775399,4667,525,64,154,0,88,273
0,36278,60569,4557,32.84410709,3396,996,0,0,0,72,93
0,36279,94036,2452,89.06923491,2359,23,7,17,0,0,46
0,36280,56798,4332,31.8372833,4097,216,0,0,0,0,19
5,36301,58856,37608,400.881156,24861,11249,69,283,51,140,955
10,36303,67544,30986,481.0781551,17367,12313,117,288,8,172,721
1,36305,94617,15954,455.3607955,13261,1769,42,329,0,218,335
0,36310,54394,6275,31.47593017,4055,2006,30,0,17,72,95
0,36311,53848,2426,23.12959252,2253,105,4,0,0,25,39
0,36312,64844,6285,80.27142042,5286,920,5,7,0,0,67
0,36313,82513,244,72.61146497,244,0,0,0,0,0,0
0,36314,42742,398,25.2204137,395,0,0,0,0,0,3
0,36316,70950,2118,34.47447447,1920,162,0,15,0,0,21
0,36317,43726,486,14.52808352,257,218,0,0,0,0,11
